Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1954-06-16,Uruguay,Czechoslovakia,2,0,1657.6827675647712,1543.2911914688177,Group stage
1954-06-16,Austria,Scotland,1,0,1501.2166542921993,1500.0,Group stage
1954-06-16,Brazil,Mexico,5,0,1629.656403309579,1372.9490208459474,Group stage
1954-06-16,Yugoslavia,France,1,0,1531.8754804515038,1482.955366089815,Group stage
1954-06-17,England,Belgium,4,4,1492.1509393745077,1410.917009815231,Group stage
1954-06-17,Germany,Türkiye,4,1,1504.2794554556076,1500.0,Group stage
1954-06-17,Hungary,Korea Republic,9,0,1577.8554605770994,1500.0,Group stage
1954-06-17,Switzerland,Italy,2,1,1492.7074711813955,1642.7563670758407,Group stage
1954-06-19,France,Mexico,3,2,1469.1934496734884,1359.57350404832,Group stage
1954-06-19,Austria,Czechoslovakia,5,0,1517.1606255204895,1526.9194136870276,Group stage
1954-06-19,Brazil,Yugoslavia,1,1,1643.0319201072064,1545.6373968678304,Group stage
1954-06-19,Uruguay,Scotland,7,0,1674.0545453465613,1484.0560287717099,Group stage
1954-06-20,Türkiye,Korea Republic,7,0,1472.3448659215733,1459.461271786504,Group stage
1954-06-20,Hungary,Germany,8,3,1618.3941887905953,1531.9345895340343,Group stage
1954-06-20,Switzerland,England,0,2,1515.2176703471657,1488.4766894958361,Group stage
1954-06-20,Italy,Belgium,4,1,1620.2461679100704,1414.5912596939027,Group stage
1954-06-23,Switzerland,Italy,4,1,1489.374107740254,1633.3704170977317,Group stage play-off
1954-06-23,Germany,Türkiye,7,2,1504.712758552956,1514.714006920321,Group stage play-off
1954-06-26,Switzerland,Austria,5,7,1528.3570672170742,1554.171529494536,Quarter-finals
1954-06-26,Uruguay,England,4,2,1696.1353770556723,1514.3202521027479,Quarter-finals
1954-06-27,Hungary,Brazil,4,2,1645.6160197716736,1638.6606417514636,Quarter-finals
1954-06-27,Germany,Yugoslavia,2,0,1541.7487650570401,1550.0086752235732,Quarter-finals
1954-06-30,Germany,Austria,6,1,1566.319231965717,1576.3916037626498,Semi-finals
1954-06-30,Hungary,Uruguay,4,2,1669.1356234533955,1708.6094357149652,Semi-finals
1954-07-03,Austria,Uruguay,3,1,1539.348233856602,1681.894353701394,Third-place match
1954-07-04,Germany,Hungary,3,2,1603.3626018717648,1695.8507054669667,Final
1958-06-08,Sweden,Mexico,3,0,1504.8869855405928,1348.460589424211,Group stage
1958-06-08,Northern Ireland,Czechoslovakia,1,0,1500.0,1489.9085097129812,Group stage
1958-06-08,Hungary,Wales,1,1,1675.6893068429065,1500.0,Group stage
1958-06-08,Brazil,Austria,3,0,1615.1410380697416,1572.677297971004,Group stage
1958-06-08,Soviet Union,England,2,2,1500.0,1501.846193443455,Group stage
1958-06-08,France,Paraguay,7,3,1480.3063642975974,1476.4988607553107,Group stage
1958-06-08,Argentina,West Germany,1,3,1554.3190809010198,1500.0,Group stage
1958-06-08,Yugoslavia,Scotland,1,1,1525.4382083148962,1461.975197062599,Group stage
1958-06-11,Mexico,Wales,1,1,1332.279086036754,1507.4650898371158,Group stage
1958-06-11,Brazil,England,0,0,1639.7358037040624,1501.7611738936287,Group stage
1958-06-11,Paraguay,Scotland,3,2,1444.8495307532085,1464.8657006781675,Group stage
1958-06-11,Yugoslavia,France,3,2,1522.5477046993276,1511.9556942996996,Group stage
1958-06-11,Argentina,Northern Ireland,3,1,1526.5971277745984,1515.5354003437108,Group stage
1958-06-11,West Germany,Czechoslovakia,2,2,1527.7219531264213,1474.3731093692704,Group stage
1958-06-11,Soviet Union,Austria,2,0,1500.0850195498263,1548.0825323366832,Group stage
1958-06-12,Sweden,Hungary,2,1,1521.0684889280499,1668.2242170057907,Group stage
1958-06-15,Sweden,Wales,0,0,1543.4671354935215,1500.018144699368,Group stage
1958-06-15,Czechoslovakia,Argentina,6,1,1476.810786192507,1549.8332687973395,Group stage
1958-06-15,Paraguay,Yugoslavia,3,3,1461.7702909862335,1538.0600756543502,Group stage
1958-06-15,Brazil,Soviet Union,2,0,1633.6960513372949,1527.3796377875187,Group stage
1958-06-15,England,Austria,2,2,1507.8009262603962,1520.7879140989908,Group stage
1958-06-15,France,Scotland,2,1,1496.443323344677,1447.9449404451425,Group stage
1958-06-15,West Germany,Northern Ireland,2,2,1525.2842763031847,1492.2992593209697,Group stage
1958-06-15,Hungary,Mexico,4,0,1645.825570440319,1339.726031174502,Group stage
1958-06-17,Northern Ireland,Czechoslovakia,2,1,1493.8137280897135,1520.2676307718991,Group stage play-off
1958-06-17,Soviet Union,England,1,0,1510.5027595280724,1508.3987207592886,Group stage play-off
1958-06-17,Wales,Hungary,2,1,1502.0086787748392,1655.2037274854936,Group stage play-off
1958-06-19,Sweden,Soviet Union,2,0,1541.4766014180502,1526.4058661464787,Quarter-finals
1958-06-19,Brazil,Wales,1,0,1650.5729295967412,1524.6393296365623,Quarter-finals
1958-06-19,West Germany,Yugoslavia,1,0,1523.769807534441,1534.6021975393282,Quarter-finals
1958-06-19,France,Northern Ireland,4,0,1510.2242844274617,1511.0296265661807,Quarter-finals
1958-06-24,Brazil,France,5,2,1661.0147802337208,1542.2984590467513,Semi-finals
1958-06-24,Sweden,West Germany,3,1,1564.4362043514045,1540.268495952256,Semi-finals
1958-06-28,France,West Germany,6,3,1523.510123919319,1517.9352546959005,Third-place match
1958-06-29,Brazil,Sweden,5,2,1679.803115361153,1586.76944560776,Final
1962-05-30,Uruguay,Colombia,2,1,1648.565289586992,1500.0,Group stage
1962-05-30,Chile,Switzerland,3,1,1498.8545611819927,1506.1369929489604,Group stage
1962-05-30,Argentina,Bulgaria,1,0,1506.3764242179475,1500.0,Group stage
1962-05-30,Brazil,Mexico,2,0,1700.4796912978393,1330.3478741293275,Group stage
1962-05-31,Czechoslovakia,Spain,1,0,1503.051732295432,1510.603600404233,Group stage
1962-05-31,Hungary,England,2,1,1632.5730766237705,1492.4956141408823,Group stage
1962-05-31,West Germany,Italy,0,0,1490.3844975184893,1594.3874576209114,Group stage
1962-05-31,Soviet Union,Yugoslavia,2,0,1503.4462632131244,1518.1035091215133,Group stage
1962-06-02,Yugoslavia,Uruguay,3,1,1493.0916226700085,1658.1122005860352,Group stage
1962-06-02,England,Argentina,3,1,1482.6182161979355,1522.0828119956157,Group stage
1962-06-02,Brazil,Czechoslovakia,0,0,1705.575049682232,1519.399453914881,Group stage
1962-06-02,Chile,Italy,2,0,1523.3575400887921,1589.7360544095293,Group stage
1962-06-03,West Germany,Switzerland,2,1,1495.0359007298714,1481.634014042161,Group stage
1962-06-03,Hungary,Bulgaria,6,1,1642.4504745667173,1484.2936122223318,Group stage
1962-06-03,Soviet Union,Colombia,4,4,1528.4581496646292,1490.4530890009569,Group stage
1962-06-03,Spain,Mexico,1,0,1494.255878784784,1325.2525157449347,Group stage
