Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1982-06-18,Italy,Peru,1,1,1618.6304414694027,1471.7307254765392,First group stage
1982-06-18,Argentina,Hungary,4,1,1592.2717213302737,1581.7189962338532,First group stage
1982-06-19,Belgium,El Salvador,1,0,1427.2741731055553,1377.617980320804,First group stage
1982-06-19,Soviet Union,New Zealand,3,0,1570.0744629550761,1470.2432778483633,First group stage
1982-06-19,Poland,Cameroon,0,0,1594.1625994790575,1498.6387631389618,First group stage
1982-06-20,Spain,Yugoslavia,2,1,1494.1684225203337,1523.9930737276093,First group stage
1982-06-20,England,Czechoslovakia,2,0,1613.3584032118613,1483.6798968452504,First group stage
1982-06-20,West Germany,Chile,4,1,1648.6630988407715,1483.137849324819,First group stage
1982-06-21,Algeria,Austria,0,2,1523.3313155948065,1542.2449505418938,First group stage
1982-06-21,Honduras,Northern Ireland,1,1,1499.7185119768765,1481.1157228148436,First group stage
1982-06-21,France,Kuwait,4,1,1489.970426868511,1499.2128163905877,First group stage
1982-06-22,Poland,Peru,5,1,1589.8711559157223,1478.1194649011395,First group stage
1982-06-22,Soviet Union,Scotland,2,2,1590.243361932113,1496.5220754014051,First group stage
1982-06-22,Belgium,Hungary,1,1,1441.0028650114837,1554.5691839710187,First group stage
1982-06-23,Argentina,El Salvador,2,0,1619.4215335931083,1363.8892884148756,First group stage
1982-06-23,Italy,Cameroon,1,1,1612.2417020448024,1502.930206702297,First group stage
1982-06-23,Brazil,New Zealand,4,0,1756.1597527596875,1450.0743788713264,First group stage
1982-06-24,Honduras,Yugoslavia,0,1,1498.8626396110685,1506.6229615326217,First group stage
1982-06-24,Algeria,Chile,3,2,1500.6365341380413,1467.5522626429631,First group stage
1982-06-24,France,Czechoslovakia,1,1,1518.7150998120846,1468.243735042025,First group stage
1982-06-25,Northern Ireland,Spain,1,0,1481.9715951806515,1511.5385347153212,First group stage
1982-06-25,West Germany,Austria,1,0,1664.2486855226273,1564.939731998659,First group stage
1982-06-25,England,Kuwait,1,0,1628.7945650150866,1470.468143447014,First group stage
1982-06-28,Poland,Belgium,3,0,1611.9192970895185,1446.0541556089315,Second group stage
1982-06-28,Austria,France,0,1,1553.3924691240366,1516.4070204722693,Second group stage
1982-06-29,Italy,Argentina,2,1,1607.3674995910092,1628.3877637732546,Second group stage
1982-06-29,West Germany,England,0,0,1675.7959483972497,1637.969394124698,Second group stage
1982-07-01,Austria,Northern Ireland,2,2,1535.695631053173,1499.3299255949446,Second group stage
1982-07-01,Belgium,Soviet Union,0,1,1430.490566741333,1586.029063789069,Second group stage
1982-07-02,West Germany,Spain,2,1,1674.060821535573,1494.1802043010282,Second group stage
1982-07-02,Argentina,Brazil,1,3,1611.4209242173354,1765.5385624847684,Second group stage
1982-07-04,Poland,Soviet Union,0,0,1627.482885957117,1595.3092778298899,Second group stage
1982-07-04,France,Northern Ireland,4,1,1534.103858543133,1500.998539122671,Second group stage
1982-07-05,Spain,England,0,0,1485.7954416737323,1639.7045209863747,Second group stage
1982-07-05,Italy,Brazil,3,2,1624.3343391469284,1779.5398591628887,Second group stage
1982-07-08,West Germany,France,3,3,1682.445584162869,1559.4439301458874,Semi-finals
1982-07-08,Poland,Italy,0,2,1626.005457282621,1647.0414906388344,Semi-finals
1982-07-10,Poland,France,3,2,1603.4568019319277,1564.88300595891,Third-place match
1982-07-11,Italy,West Germany,3,1,1669.5901459895276,1677.0065083498464,Final
1986-05-31,Bulgaria,Italy,1,1,1389.5222086736726,1694.102372355354,Group stage
1986-06-01,Spain,Brazil,0,1,1492.4533044235427,1756.8327076709827,Group stage
1986-06-01,Canada,France,0,1,1500.0,1550.65213189397,Group stage
1986-06-02,Soviet Union,Hungary,6,0,1596.786706504386,1549.5178933735708,Group stage
1986-06-02,Morocco,Poland,0,0,1456.0571418172367,1617.6876759968677,Group stage
1986-06-02,Argentina,Korea Republic,3,1,1597.419627539215,1417.0921307877563,Group stage
1986-06-03,Belgium,Mexico,1,2,1421.210352700512,1368.2112245442022,Group stage
1986-06-03,Portugal,England,1,0,1604.74763240649,1633.0466582365643,Group stage
1986-06-03,Algeria,Northern Ireland,1,1,1515.1175356048159,1475.6584675199165,Group stage
1986-06-04,Paraguay,Iraq,1,0,1465.2281691012554,1500.0,Group stage
1986-06-04,Scotland,Denmark,0,1,1500.7363735444492,1500.0,Group stage
1986-06-04,Uruguay,West Germany,1,1,1495.5911645693998,1652.49428198402,Group stage
1986-06-05,Korea Republic,Bulgaria,1,1,1404.53884871761,1400.7980196810179,Group stage
1986-06-05,France,Soviet Union,1,1,1564.3359017643536,1631.378013378145,Group stage
1986-06-05,Italy,Argentina,1,1,1682.8265613480087,1609.9729096093613,Group stage
1986-06-06,England,Morocco,0,0,1615.7463142841862,1463.006278339534,Group stage
1986-06-06,Hungary,Canada,2,0,1514.926586499812,1486.3162301296163,Group stage
1986-06-06,Brazil,Algeria,1,0,1762.566574842698,1513.3081512369506,Group stage
1986-06-07,Mexico,Paraguay,1,1,1386.6331677903443,1482.8241460608815,Group stage
1986-06-07,Poland,Portugal,1,0,1610.7385394745704,1622.0479763588683,Group stage
1986-06-07,Northern Ireland,Spain,1,2,1477.4678518877818,1486.7194372518275,Group stage
1986-06-08,Denmark,Uruguay,6,1,1516.0339112041493,1502.3626232998943,Group stage
1986-06-08,West Germany,Scotland,2,1,1645.7228232535256,1484.7024623403,Group stage
1986-06-08,Iraq,Belgium,1,2,1482.4040230403739,1402.78840945437,Group stage
1986-06-09,Hungary,France,0,3,1536.9547082288943,1567.385547933715,Group stage
1986-06-09,Soviet Union,Canada,2,0,1628.3283672087834,1464.288108400534,Group stage
1986-06-10,Korea Republic,Italy,2,3,1404.3665838308127,1679.5198503167364,Group stage
1986-06-10,Argentina,Bulgaria,2,0,1613.2796206406335,1400.9702845678153,Group stage
1986-06-11,Paraguay,Belgium,2,2,1478.5042043843932,1422.3919881721815,Group stage
1986-06-11,Portugal,Morocco,1,3,1605.5273414149092,1469.6195643411493,Group stage
1986-06-11,England,Poland,3,0,1609.1330282825709,1627.2591744185295,Group stage
1986-06-11,Iraq,Mexico,0,1,1462.8004443225623,1390.9531094668325,Group stage
1986-06-12,Algeria,Spain,0,3,1507.1531235339855,1502.2934866711632,Group stage
1986-06-12,Northern Ireland,Brazil,0,3,1461.893802468446,1768.721602545663,Group stage
1986-06-13,Denmark,West Germany,2,0,1550.6180732003456,1654.7965030828977,Group stage
1986-06-13,Scotland,Uruguay,0,0,1475.6287825109277,1467.778461303698,Group stage
1986-06-15,Mexico,Bulgaria,2,0,1410.2154308427862,1390.0474921876971,Round of 16
1986-06-15,Soviet Union,Belgium,3,4,1641.7700120590519,1424.9538160280936,Round of 16
1986-06-16,Argentina,Uruguay,1,0,1624.2024130207517,1468.1399204449126,Round of 16
1986-06-16,Brazil,Poland,4,0,1776.898173544608,1597.7997035403268,Round of 16
1986-06-17,Morocco,West Germany,0,1,1502.5564900619083,1623.8083032673762,Round of 16
1986-06-17,Italy,France,0,2,1684.9676106511622,1592.9393640965661,Round of 16
1986-06-18,Denmark,Spain,1,5,1581.6062730158671,1530.68510159182,Round of 16
1986-06-18,England,Paraguay,3,0,1638.5924991607735,1475.9423765284812,Round of 16
1986-06-21,West Germany,Mexico,0,0,1634.4406199823197,1432.823841663525,Quarter-finals
1986-06-21,Brazil,France,1,1,1793.7234779836358,1623.151834864127,Quarter-finals
1986-06-22,Argentina,England,2,1,1633.462765188719,1654.3649261349212,Quarter-finals
1986-06-22,Spain,Belgium,1,1,1567.3418192871193,1449.8168499518106,Quarter-finals
1986-06-25,Argentina,Belgium,2,0,1650.424185638385,1455.0316776855013,Semi-finals
1986-06-25,France,West Germany,0,2,1630.431288791144,1626.0744879913836,Semi-finals
1986-06-28,France,Belgium,4,2,1606.1303474279418,1443.2655515815268,Third-place match
1986-06-29,Argentina,West Germany,3,2,1662.1903117423597,1650.3754293545858,Final
1990-06-08,Argentina,Cameroon,0,1,1677.6464259358424,1507.8044091560903,Group stage
1990-06-09,Italy,Austria,1,0,1654.7551398836013,1534.0270175254466,Group stage
1990-06-09,Soviet Union,Romania,0,2,1616.9069781353348,1464.1744669799493,Group stage
1990-06-09,United Arab Emirates,Colombia,0,2,1500.0,1459.862810250444,Group stage
1990-06-10,Brazil,Sweden,2,1,1786.444024056619,1530.705455588034,Group stage
1990-06-10,West Germany,Yugoslavia,4,1,1634.919315161103,1522.2656449205708,Group stage
1990-06-10,United States,Czechoslovakia,1,5,1445.8583402974473,1470.5518143818404,Group stage
1990-06-11,England,Republic of Ireland,1,1,1637.4035056852551,1500.0,Group stage
1990-06-11,Costa Rica,Scotland,1,0,1500.0,1475.267323369713,Group stage
1990-06-12,Belgium,Korea Republic,2,0,1429.758326323114,1398.918823496387,Group stage
1990-06-12,Netherlands,Egypt,1,1,1610.0008334180259,1476.0,Group stage
1990-06-13,Argentina,Soviet Union,2,0,1654.39364287963,1582.9874801281471,Group stage
1990-06-13,Uruguay,Spain,0,0,1458.8795682769453,1562.1269915534285,Group stage
1990-06-14,Cameroon,Romania,2,1,1531.0571922123027,1498.093964987137,Group stage
1990-06-14,Italy,United States,1,0,1665.4088699863273,1416.1288714413274,Group stage
1990-06-14,Yugoslavia,Colombia,1,0,1503.0391286728131,1486.6231204694639,Group stage
1990-06-15,West Germany,United Arab Emirates,5,1,1654.1458314088607,1473.2396897809801,Group stage
1990-06-15,Austria,Czechoslovakia,0,1,1523.3732874227205,1500.2812832379602,Group stage
1990-06-16,Sweden,Scotland,1,2,1524.7337399233688,1460.404385182245,Group stage
1990-06-16,England,Netherlands,0,0,1631.386320756171,1604.1186781707836,Group stage
1990-06-16,Brazil,Costa Rica,1,0,1792.4157397212841,1514.862938187468,Group stage
1990-06-17,Korea Republic,Spain,1,3,1377.043563597771,1557.5074616431552,Group stage
1990-06-17,Belgium,Uruguay,3,1,1451.63358622173,1463.4990981872186,Group stage
1990-06-17,Republic of Ireland,Egypt,0,0,1506.0171849290841,1481.8821552472423,Group stage
1990-06-18,Cameroon,Soviet Union,0,4,1545.5437179144617,1563.851746501539,Group stage
1990-06-18,Argentina,Romania,1,1,1673.5293765062381,1483.607439284978,Group stage
1990-06-19,West Germany,Colombia,1,1,1670.8424018686815,1471.3785435143718,Group stage
1990-06-19,Yugoslavia,United Arab Emirates,4,1,1518.2837056279052,1456.5431193211593,Group stage
1990-06-19,Italy,Czechoslovakia,2,0,1671.563280320334,1517.3431462039266,Group stage
1990-06-19,Austria,United States,2,1,1506.3114244567541,1409.9744611073208,Group stage
1990-06-20,Brazil,Scotland,1,0,1797.8013457205154,1479.333465836386,Group stage
1990-06-20,Sweden,Costa Rica,1,2,1505.8046592692278,1509.4773321882367,Group stage
1990-06-21,England,Egypt,1,0,1630.1331712849062,1482.9918300809597,Group stage
1990-06-21,Republic of Ireland,Netherlands,1,1,1504.9075100953667,1605.3718276420484,Group stage
1990-06-21,Korea Republic,Uruguay,0,1,1364.49755907317,1438.6797761687042,Group stage
1990-06-21,Belgium,Spain,1,2,1476.4529082402444,1570.0534661677564,Group stage
1990-06-23,Czechoslovakia,Costa Rica,4,1,1503.3477000928885,1525.3082056493995,Round of 16
1990-06-23,Cameroon,Colombia,2,1,1515.2283906542411,1479.6724037324332,Round of 16
1990-06-24,West Germany,Netherlands,2,1,1662.54854165062,1600.8700503748003,Round of 16
1990-06-24,Brazil,Argentina,0,1,1802.2126014361945,1665.5614215700728,Round of 16
1990-06-25,Italy,Uruguay,2,0,1685.558726431372,1451.3145422278983,Round of 16
1990-06-25,Republic of Ireland,Romania,0,0,1509.4092873626148,1491.5753942211434,Round of 16
1990-06-26,England,Belgium,1,0,1639.735081307101,1464.6620318671507,Round of 16
1990-06-26,Spain,Yugoslavia,1,2,1581.84434254085,1541.3597242766066,Round of 16
1990-06-30,Italy,Republic of Ireland,1,0,1695.452925315819,1508.5887267706012,Quarter-finals
1990-06-30,Yugoslavia,Argentina,0,0,1559.2157172995571,1687.5488364446749,Quarter-finals
1990-07-01,England,Cameroon,3,2,1648.292211679235,1529.5966693865562,Quarter-finals
1990-07-01,West Germany,Czechoslovakia,1,0,1675.7376092562276,1533.1151546002968,Quarter-finals
1990-07-03,Italy,Argentina,1,1,1703.5913257818888,1681.8937541575078,Semi-finals
1990-07-04,West Germany,England,1,1,1685.51524924276,1659.029256532209,Semi-finals
1990-07-07,Italy,England,2,1,1702.593412659292,1660.2466242644282,Third-place match
1990-07-08,West Germany,Argentina,1,0,1684.297881510541,1682.8916672801047,Final
1994-06-17,Spain,Korea Republic,2,2,1563.9883495178995,1351.8627930139758,Group stage
1994-06-17,Germany,Bolivia,1,0,1623.524000495825,1412.5681816501938,Group stage
1994-06-18,United States,Switzerland,1,1,1398.3006348544059,1388.0400372944569,Group stage
1994-06-18,Colombia,Romania,1,3,1465.3041250001181,1492.395954813157,Group stage
1994-06-18,Italy,Republic of Ireland,0,1,1716.6528708342155,1500.4503263045312,Group stage
1994-06-19,Cameroon,Sweden,2,2,1518.859624533582,1489.973785808065,Group stage
1994-06-19,Norway,Mexico,1,0,1487.9171802332312,1441.189973654461,Group stage
1994-06-19,Belgium,Morocco,1,0,1456.1049014950167,1491.9241733469648,Group stage
1994-06-20,Netherlands,Saudi Arabia,2,1,1587.6809827691927,1500.0,Group stage
1994-06-20,Brazil,Russia,2,0,1780.2251865615924,1500.0,Group stage
1994-06-21,Nigeria,Bulgaria,3,0,1500.0,1367.4390813669584,Group stage
1994-06-21,Germany,Spain,1,1,1630.8497806687665,1555.2761634247338,Group stage
1994-06-21,Argentina,Greece,4,0,1666.9564254849836,1500.0,Group stage
1994-06-22,United States,Colombia,2,1,1397.8282541973642,1443.171778513047,Group stage
1994-06-22,Romania,Switzerland,1,4,1514.5283013002281,1388.5124179514985,Group stage
1994-06-23,Korea Republic,Bolivia,0,0,1360.5749791071414,1405.2424014772523,Group stage
1994-06-23,Italy,Norway,1,0,1691.809444307322,1501.7781939977974,Group stage
1994-06-24,Sweden,Russia,3,1,1491.3009712897208,1492.024422983424,Group stage
1994-06-24,Brazil,Cameroon,3,0,1788.2007635781683,1517.5324390519263,Group stage
1994-06-24,Mexico,Republic of Ireland,2,1,1427.3289598898948,1525.2937528314246,Group stage
1994-06-25,Belgium,Netherlands,1,0,1473.7486204498164,1599.7267173178657,Group stage
1994-06-25,Argentina,Nigeria,2,1,1684.6628142807695,1517.8067404256262,Group stage
1994-06-25,Saudi Arabia,Morocco,2,1,1487.954265451327,1474.2804543921652,Group stage
1994-06-26,Bulgaria,Greece,4,0,1349.6323409413321,1482.2936112042141,Group stage
1994-06-26,Switzerland,Colombia,0,2,1426.2450098817985,1425.095407378992,Group stage
1994-06-26,United States,Romania,0,1,1415.9046253314193,1476.795709369928,Group stage
1994-06-27,Bolivia,Spain,1,3,1403.196649324194,1558.702587265058,Group stage
1994-06-27,Germany,Korea Republic,3,2,1627.4233568284424,1362.6207312601998,Group stage
1994-06-28,Italy,Mexico,1,1,1699.8377043619266,1447.7245290098795,Group stage
1994-06-28,Brazil,Sweden,1,1,1797.9403163621848,1515.3509454900573,Group stage
1994-06-28,Russia,Cameroon,6,1,1467.9744487830876,1507.7928862679098,Group stage
1994-06-28,Republic of Ireland,Norway,0,0,1504.89818371144,1493.749933943193,Group stage
1994-06-29,Belgium,Saudi Arabia,0,1,1495.3085716070216,1503.3248881004852,Group stage
1994-06-29,Morocco,Netherlands,1,2,1458.909831743007,1578.1667661606605,Group stage
1994-06-30,Argentina,Bulgaria,0,2,1693.5197084700449,1393.2897974113594,Group stage
1994-06-30,Greece,Nigeria,0,2,1438.636154734187,1508.9498462363508,Group stage
1994-07-02,Spain,Switzerland,3,0,1572.624760786046,1402.1655984440301,Round of 16
1994-07-02,Germany,Belgium,3,2,1633.1457667993832,1479.6776711292257,Round of 16
1994-07-03,Romania,Argentina,3,2,1490.0199331609836,1652.7585878148261,Round of 16
1994-07-03,Saudi Arabia,Sweden,1,3,1518.955788578281,1526.0939584373375,Round of 16
1994-07-04,Netherlands,Republic of Ireland,2,0,1588.8807674691047,1504.3849639602622,Round of 16
1994-07-04,Brazil,United States,1,0,1787.1973034149046,1402.6804015403638,Round of 16
1994-07-05,Mexico,Bulgaria,1,1,1457.6507806636027,1434.050918066578,Round of 16
1994-07-05,Nigeria,Italy,1,2,1528.1579910301002,1689.9114527082033,Round of 16
1994-07-09,Netherlands,Brazil,2,3,1607.1564181317765,1790.3508560219461,Quarter-finals
1994-07-09,Italy,Spain,2,1,1698.9577237365456,1587.8929059769573,Quarter-finals
1994-07-10,Romania,Sweden,2,2,1513.010416912106,1549.6009404993142,Quarter-finals
1994-07-10,Bulgaria,Germany,2,1,1435.136063490111,1642.5047045642943,Quarter-finals
1994-07-13,Sweden,Brazil,0,1,1547.9220870092283,1798.618118712424,Semi-finals
1994-07-13,Bulgaria,Italy,1,2,1459.6929886744972,1710.0103841853656,Semi-finals
1994-07-16,Sweden,Bulgaria,4,0,1541.8080934641937,1453.5682078920247,Third-place match
1994-07-17,Brazil,Italy,0,0,1804.7321122574585,1716.1351649678381,Final
1998-06-10,Brazil,Scotland,2,1,1800.7382673770835,1474.922210120707,Group stage
1998-06-10,Morocco,Norway,2,2,1448.1958304345628,1494.2631536943707,Group stage
1998-06-11,Cameroon,Austria,1,1,1467.6850154164265,1517.9852507096691,Group stage
1998-06-11,Italy,Chile,2,2,1720.1290098482132,1453.0712611761885,Group stage
1998-06-12,France,South Africa,3,0,1619.6375726863546,1500.0,Group stage
1998-06-12,Saudi Arabia,Denmark,0,1,1495.4488065163043,1544.949555320568,Group stage
1998-06-12,Paraguay,Bulgaria,0,0,1460.1699495543335,1429.5250522429906,Group stage
1998-06-13,Netherlands,Belgium,0,0,1598.8891554412987,1470.3187333643145,Group stage
1998-06-13,Korea Republic,Mexico,1,3,1356.898321289259,1456.56563524007,Group stage
1998-06-13,Spain,Nigeria,2,3,1576.8402455281373,1519.111720001758,Group stage
1998-06-14,Jamaica,Croatia,1,3,1500.0,1500.0,Group stage
1998-06-14,FR Yugoslavia,IR Iran,1,0,1500.0,1452.6487879059582,Group stage
1998-06-14,Argentina,Japan,1,0,1629.7681040637035,1500.0,Group stage
1998-06-15,England,Tunisia,2,0,1646.1871660895047,1514.2944370559883,Group stage
1998-06-15,Germany,United States,2,0,1617.947779379908,1399.526848933322,Group stage
1998-06-15,Romania,Colombia,1,0,1514.6892704021918,1449.1748188167603,Group stage
1998-06-16,Brazil,Morocco,3,0,1804.991101868909,1450.3049634872987,Group stage
1998-06-16,Scotland,Norway,1,1,1470.6693756288814,1492.1540206416348,Group stage
1998-06-17,Italy,Cameroon,3,0,1709.7906724541722,1469.9853774004093,Group stage
1998-06-17,Chile,Austria,1,1,1463.4095985702295,1515.6848887256863,Group stage
1998-06-18,France,Saudi Arabia,4,0,1638.3597572462531,1481.7130999607666,Group stage
1998-06-18,South Africa,Denmark,1,1,1481.2778154401014,1558.6852618761056,Group stage
1998-06-19,Spain,Paraguay,0,0,1558.2059466090623,1458.7623482677116,Group stage
1998-06-19,Nigeria,Bulgaria,1,0,1537.746018920833,1430.9326535296125,Group stage
1998-06-20,Netherlands,Korea Republic,5,0,1593.2245124295896,1339.6002578605928,Group stage
1998-06-20,Belgium,Mexico,2,2,1475.9833763760237,1473.863698668736,Group stage
1998-06-20,Japan,Croatia,0,1,1489.712825899619,1524.0,Group stage
1998-06-21,Germany,FR Yugoslavia,2,2,1628.5765885675814,1513.8327976361988,Group stage
1998-06-21,Argentina,Jamaica,5,0,1640.0552781640845,1476.0,Group stage
1998-06-21,United States,IR Iran,1,2,1388.8980397456487,1438.8159902697594,Group stage
1998-06-22,Colombia,Tunisia,1,0,1436.156613040673,1498.9914489020691,Group stage
1998-06-22,Romania,England,2,1,1527.7074761782792,1661.4901542434238,Group stage
1998-06-23,Scotland,Morocco,0,3,1471.657520890056,1443.8711277874386,Group stage
1998-06-23,Brazil,Norway,1,2,1811.424937568769,1491.1658753804602,Group stage
1998-06-23,Chile,Cameroon,1,1,1465.798961408891,1458.7327424648863,Group stage
1998-06-23,Italy,Austria,2,1,1721.0433073896952,1513.2955258870247,Group stage
1998-06-24,Nigeria,Paraguay,1,3,1548.9764104287276,1463.220805168702,Group stage
1998-06-24,Spain,Bulgaria,6,1,1553.7474897080717,1419.7022620217178,Group stage
1998-06-24,France,Denmark,2,1,1656.8362359157504,1555.1783517975884,Group stage
1998-06-24,South Africa,Saudi Arabia,2,2,1484.7847255186186,1463.2366212912693,Group stage
1998-06-25,Belgium,Korea Republic,1,1,1475.8857628213054,1326.0303744461953,Group stage
1998-06-25,Netherlands,Mexico,2,2,1606.794395843987,1473.9613122234543,Group stage
1998-06-25,Germany,IR Iran,2,0,1623.47653031526,1452.532871968339,Group stage
1998-06-25,United States,FR Yugoslavia,0,1,1375.1811580470692,1518.9328558885202,Group stage
1998-06-26,Colombia,England,0,2,1455.0191231313904,1639.6166895990661,Group stage
1998-06-26,Japan,Jamaica,1,2,1475.286702599787,1455.8387877549985,Group stage
1998-06-26,Argentina,Croatia,1,0,1660.216490409086,1538.426123299832,Group stage
1998-06-26,Romania,Tunisia,1,1,1549.5809408226369,1480.1289388113516,Group stage
1998-06-27,Brazil,Chile,4,1,1783.7971256441913,1465.473594861423,Round of 16
1998-06-27,Italy,Norway,1,0,1728.4739233360142,1518.793687305038,Round of 16
1998-06-28,Nigeria,Denmark,1,4,1519.17005907499,1543.7306944489962,Round of 16
1998-06-28,France,Paraguay,1,0,1668.2838932643426,1493.0271565224398,Round of 16
1998-06-29,Netherlands,FR Yugoslavia,2,1,1600.9588065987011,1528.6664132662017,Round of 16
1998-06-29,Germany,Mexico,2,1,1636.536980763627,1479.7969014687403,Round of 16
1998-06-30,Argentina,England,2,2,1670.8268085713703,1651.9434432510923,Round of 16
1998-06-30,Romania,Croatia,0,1,1546.4244898420664,1527.8158051375476,Round of 16
1998-07-03,Italy,France,0,0,1735.8412634598296,1676.8343966369657,Quarter-finals
1998-07-03,Brazil,Denmark,3,2,1791.522355153417,1569.7546316249088,Quarter-finals
1998-07-04,Germany,Croatia,0,3,1645.7716866347407,1544.6719482260064,Quarter-finals
1998-07-04,Netherlands,Argentina,2,1,1613.6768467344725,1669.958052727449,Quarter-finals
1998-07-07,Brazil,Netherlands,1,1,1798.5025131626383,1632.2462567556681,Semi-finals
1998-07-08,France,Croatia,2,1,1679.52593460015,1580.5971891079168,Semi-finals
1998-07-11,Netherlands,Croatia,1,2,1639.36722844234,1569.0337681588435,Third-place match
1998-07-12,Brazil,France,0,3,1791.3815414759663,1691.0893555492235,Final
2002-05-31,France,Senegal,0,1,1726.954689994709,1500.0,Group stage
2002-06-01,Germany,Saudi Arabia,8,0,1609.8464457528303,1464.2276777778136,Group stage
2002-06-01,Uruguay,Denmark,1,2,1441.4203433434513,1562.7744736156876,Group stage
2002-06-01,Republic of Ireland,Cameroon,1,1,1486.1093132975905,1459.0581090123544,Group stage
2002-06-02,Spain,Slovenia,3,1,1576.5086623279092,1500.0,Group stage
2002-06-02,England,Sweden,1,1,1652.8121990950135,1565.8512491132278,Group stage
2002-06-02,Paraguay,South Africa,2,2,1484.4766531498167,1483.7936690320744,Group stage
2002-06-02,Argentina,Nigeria,1,0,1651.3886427062534,1493.1461218990773,Group stage
2002-06-03,Croatia,Mexico,0,1,1588.2292123804727,1470.5621955976267,Group stage
2002-06-03,Italy,Ecuador,2,0,1733.1497254966453,1500.0,Group stage
2002-06-03,Brazil,Türkiye,2,1,1755.5162070304807,1477.678000416237,Group stage
2002-06-04,Korea Republic,Poland,2,0,1332.533135916609,1580.9743991012992,Group stage
2002-06-04,Japan,Belgium,2,2,1458.3920272475377,1469.3830013508918,Group stage
2002-06-04,China PR,Costa Rica,0,2,1500.0,1495.5407511419912,Group stage
2002-06-05,Germany,Republic of Ireland,1,1,1638.8292000527147,1484.8660705176376,Group stage
2002-06-05,United States,Portugal,3,2,1365.4476006693876,1572.5904156941501,Group stage
2002-06-05,Russia,Tunisia,2,0,1508.082319634571,1483.2853897919222,Group stage
2002-06-06,France,Uruguay,0,0,1701.7732644521832,1430.7922077831067,Group stage
2002-06-06,Cameroon,Saudi Arabia,1,0,1460.3013517923073,1435.2449234779292,Group stage
2002-06-06,Denmark,Senegal,1,1,1573.4026091760322,1525.1814255425259,Group stage
2002-06-07,Argentina,England,0,1,1660.5666328440718,1648.889082987203,Group stage
2002-06-07,Spain,Paraguay,3,1,1595.307433770133,1484.4452006093657,Group stage
2002-06-07,Sweden,Nigeria,2,1,1569.7743652210384,1483.968131761259,Group stage
2002-06-08,South Africa,Slovenia,1,0,1483.8251215725254,1481.2012285577762,Group stage
2002-06-08,Italy,Croatia,1,2,1743.0935023753461,1567.0085387942245,Group stage
2002-06-08,Brazil,China PR,4,0,1760.8944580433215,1475.6919829147232,Group stage
2002-06-09,Mexico,Ecuador,2,1,1491.782869183875,1490.0562231212991,Group stage
2002-06-09,Japan,Russia,1,0,1458.8980115341396,1530.3723109352882,Group stage
2002-06-09,Costa Rica,Türkiye,1,1,1519.848768227268,1472.2997494033962,Group stage
2002-06-10,Korea Republic,United States,1,1,1371.2654675654478,1389.9970981075087,Group stage
2002-06-10,Portugal,Poland,4,0,1548.040918256029,1542.2420674524603,Group stage
2002-06-10,Tunisia,Belgium,1,1,1460.995398491205,1468.87701706429,Group stage
2002-06-11,Denmark,France,2,0,1571.1960915965944,1691.3304514625045,Group stage
2002-06-11,Cameroon,Germany,0,2,1475.1494569487352,1632.1692793270583,Group stage
2002-06-11,Saudi Arabia,Republic of Ireland,0,3,1420.3968183215013,1491.525991243294,Group stage
2002-06-11,Senegal,Uruguay,3,3,1527.3879431219636,1441.2350207727854,Group stage
2002-06-12,Slovenia,Paraguay,1,3,1465.3220609993746,1467.8535515784429,Group stage
2002-06-12,South Africa,Spain,2,3,1499.704289130927,1611.8990828010558,Group stage
2002-06-12,Nigeria,England,0,0,1471.8412276357901,1665.426651620333,Group stage
2002-06-12,Sweden,Argentina,1,1,1581.9012693465072,1644.029064210942,Group stage
2002-06-13,Ecuador,Croatia,1,0,1474.135737456382,1590.48787534132,Group stage
2002-06-13,Mexico,Italy,1,1,1507.703354848792,1719.6141658282506,Group stage
2002-06-13,Türkiye,China PR,3,0,1474.47589328659,1465.3095143019561,Group stage
2002-06-13,Costa Rica,Brazil,2,5,1517.6726243440742,1771.2769266560886,Group stage
2002-06-14,Tunisia,Japan,0,2,1461.3582981908621,1478.1438645763394,Group stage
2002-06-14,Portugal,Korea Republic,0,1,1579.5068739481167,1372.1272562007362,Group stage
2002-06-14,Belgium,Russia,3,2,1468.5141173646327,1511.1264578930884,Group stage
2002-06-14,Poland,United States,3,1,1510.7761117603727,1389.1353094722203,Group stage
2002-06-15,Denmark,England,0,3,1603.1790394303098,1657.332494488823,Round of 16
2002-06-15,Germany,Paraguay,1,0,1646.0054744243405,1491.6786854988043,Round of 16
2002-06-16,Spain,Republic of Ireland,1,1,1622.90472867141,1513.8724230255398,Round of 16
2002-06-16,Sweden,Senegal,1,2,1584.732249744131,1523.4998208081768,Round of 16
2002-06-17,Brazil,Belgium,2,0,1781.8322642055164,1486.4667073104647,Round of 16
2002-06-17,Mexico,United States,0,2,1516.4085813397978,1373.2106716667531,Round of 16
2002-06-18,Japan,Türkiye,0,1,1500.985260029145,1501.737341771261,Round of 16
2002-06-18,Korea Republic,Italy,2,1,1396.6845422922731,1710.9089393372449,Round of 16
2002-06-21,England,Brazil,1,2,1681.0032436500292,1789.2449619719657,Quarter-finals
2002-06-21,Germany,United States,1,0,1655.3317142068922,1406.5779289669485,Quarter-finals
2002-06-22,Senegal,Türkiye,0,1,1542.2908408110081,1517.7027071811956,Quarter-finals
