Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2,Attack_Rating_T1,Attack_Rating_T2,Defense_Rating_T1,Defense_Rating_T2,Form_Last5_T1,Form_Last5_T2,Form_Weighted_T1,Form_Weighted_T2
6/17/2026,21,Group K,Portugal,Congo DR,1755.09,1487.18,1,1,2,1,0.5,0.67,13,7,22.82,10.41
6/17/2026,22,Group L,England,Croatia,1847.68,1695.21,4,2,2.17,1.38,0.5,0.75,16,10,29.56,16.95
6/17/2026,23,Group L,Ghana,Panama,1380.71,1505.33,1,0,1.33,0.83,1.17,1,10,8,13.81,12.04
6/17/2026,24,Group K,Uzbekistan,Colombia,1444.48,1712.6,1,3,1.5,1.17,0.83,0.83,10,8,14.44,13.7
6/18/2026,25,Group A,Czechia,South Africa,1481.49,1418.21,1,1,1.5,2,1.17,0.2,9,13,13.33,18.44
6/18/2026,26,Group B,Switzerland,Bosnia and Herzegovina,1654.94,1381.18,4,1,2,1.38,0.5,1.13,10,7,16.55,9.67
6/18/2026,27,Group B,Canada,Qatar,1572.13,1438.82,6,0,2.4,1.83,0.4,1,12,12,18.87,17.27
6/18/2026,28,Group A,Mexico,Korea Republic,1721.78,1591.75,1,0,1.8,1.83,0.4,0.83,10,11,17.22,17.51
6/19/2026,29,Group D,USA,Australia,1709.59,1584.55,2,0,2,1.67,0.5,0.83,13,10,22.22,15.85
6/19/2026,30,Group C,Scotland,Morocco,1504.41,1769.98,0,1,1.33,1.83,1,0.67,10,13,15.04,23.01
6/19/2026,31,Group C,Brazil,Haiti,1772.01,1271,3,0,2.17,1,0.33,1.67,16,7,28.35,8.9
6/19/2026,32,Group D,Turkiye,Paraguay,1550.13,1517.39,0,1,1.83,0.88,1,1.13,12,6,18.6,9.1
6/20/2026,33,Group F,Netherlands,Sweden,1764.4,1517.99,5,1,2.33,1.5,0.5,1.17,13,9,22.94,13.66
6/20/2026,34,Group E,Germany,Cote d'Ivoire,1760.46,1551.71,2,1,2.33,2,0.33,1,16,13,28.17,20.17
6/20/2026,35,Group E,Ecuador,Curacao,1558.35,1299.41,0,0,1.33,1.5,0.67,1.5,8,9,12.47,11.69
6/20/2026,36,Group F,Tunisia,Japan,1437.69,1681.26,0,4,1.17,1.83,0.83,0.67,10,11,14.38,18.49
6/21/2026,37,Group H,Spain,Saudi Arabia,1864.32,1426.71,4,0,2.17,1.83,0.5,0.67,16,13,29.83,18.55
6/21/2026,38,Group G,Belgium,IR Iran,1727.88,1611.18,0,0,2.25,1.83,0.38,0.5,20,11,34.56,17.72
6/21/2026,39,Group H,Uruguay,Cabo Verde,1649.96,1401.77,2,2,1.83,1.83,1,0.5,8,11,13.2,15.42
6/21/2026,40,Group G,New Zealand,Egypt,1277.34,1583.37,1,3,0.83,2,0.83,0.2,7,20,8.94,31.67
6/22/2026,41,Group J,Argentina,Austria,1889.06,1612.86,2,0,1.83,1.83,0.33,0.5,13,19,24.56,30.64
6/22/2026,42,Group I,France,Iraq,1887.11,1426.53,3,0,2.17,1.33,1,0.67,16,8,30.19,11.41
6/22/2026,43,Group I,Norway,Senegal,1577.18,1667.66,3,2,1.5,1.67,0.67,0.67,13,10,20.5,16.68
6/22/2026,44,Group J,Jordan,Algeria,1372.29,1559.24,1,2,1.38,2,0.5,0.5,11,22,15.09,34.3
6/23/2026,45,Group K,Portugal,Uzbekistan,1755.09,1444.48,5,0,2,1.5,0.5,0.83,13,10,22.82,14.44
