Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2
6/22/2018,24,Group Stage,Brazil,Costa Rica,2032.96,1723.55,2,0
6/22/2018,25,Group Stage,Nigeria,Iceland,1705.43,1708.68,2,0
6/22/2018,26,Group Stage,Serbia,Switzerland,1725.17,1825.96,1,2
6/23/2018,27,Group Stage,Belgium,Tunisia,1890.04,1691.19,5,2
6/23/2018,28,Group Stage,Germany,Sweden,1958.01,1739.75,2,1
6/23/2018,29,Group Stage,South Korea,Mexico,1748.51,1834.09,1,2
6/24/2018,30,Group Stage,Japan,Senegal,1747.58,1752.17,2,2
6/24/2018,31,Group Stage,Poland,Colombia,1795.87,1865.61,0,3
6/24/2018,32,Group Stage,England,Panama,1906.22,1682.27,6,1
6/25/2018,33,Group Stage,Spain,Morocco,1975.34,1732.19,2,2
6/25/2018,34,Group Stage,Iran,Portugal,1808.95,1883.41,1,1
6/25/2018,35,Group Stage,Saudi Arabia,Egypt,1653.51,1695.34,2,1
6/25/2018,36,Group Stage,Uruguay,Russia,1814.03,1732.65,3,0
6/26/2018,37,Group Stage,Iceland,Croatia,1708.68,1816.65,1,2
6/26/2018,38,Group Stage,Denmark,France,1755.69,1937.24,0,0
6/26/2018,39,Group Stage,Nigeria,Argentina,1705.43,1920.86,1,2
6/26/2018,40,Group Stage,Australia,Peru,1733.48,1854.2,0,2
6/27/2018,41,Group Stage,Serbia,Brazil,1725.17,2032.96,0,2
6/27/2018,42,Group Stage,South Korea,Germany,1748.51,1958.01,2,0
6/27/2018,43,Group Stage,Switzerland,Costa Rica,1825.96,1723.55,2,2
6/27/2018,44,Group Stage,Mexico,Sweden,1834.09,1739.75,0,3
6/28/2018,45,Group Stage,Japan,Poland,1747.58,1795.87,0,1
6/28/2018,46,Group Stage,Panama,Tunisia,1682.27,1691.19,1,2
6/28/2018,47,Group Stage,Senegal,Colombia,1752.17,1865.61,0,1
6/28/2018,48,Group Stage,England,Belgium,1906.22,1890.04,0,1
6/30/2018,49,Round of 16,France,Argentina,1937.24,1920.86,4,3
6/30/2018,50,Round of 16,Uruguay,Portugal,1814.03,1883.41,2,1
7/1/2018,51,Round of 16,Spain,Russia,1975.34,1732.65,1,1
7/1/2018,52,Round of 16,Croatia,Denmark,1816.65,1755.69,1,1
7/2/2018,53,Round of 16,Belgium,Japan,1890.04,1747.58,3,2
7/2/2018,54,Round of 16,Brazil,Mexico,2032.96,1834.09,2,0
7/3/2018,55,Round of 16,Colombia,England,1865.61,1906.22,1,1
7/3/2018,56,Round of 16,Sweden,Switzerland,1739.75,1825.96,1,0
7/6/2018,57,Quarter-finals,Brazil,Belgium,2032.96,1890.04,1,2
7/6/2018,58,Quarter-finals,Uruguay,France,1814.03,1937.24,0,2
7/7/2018,59,Quarter-finals,Sweden,England,1739.75,1906.22,0,2
7/7/2018,60,Quarter-finals,Russia,Croatia,1732.65,1816.65,2,2
7/10/2018,61,Semi-finals,France,Belgium,1937.24,1890.04,1,0
7/11/2018,62,Semi-finals,Croatia,England,1816.65,1906.22,2,1
7/14/2018,63,3rd Place Final,Belgium,England,1890.04,1906.22,2,0
7/15/2018,64,Final,France,Croatia,1937.24,1816.65,4,2
########,1,Group Stage,Qatar,Ecuador,1680,1832,0,2
########,2,Group Stage,England,Iran,1919,1798,6,2
########,3,Group Stage,Senegal,Netherlands,1684,2040,0,2
########,4,Group Stage,USA,Wales,1796,1789,1,1
########,5,Group Stage,Argentina,Saudi Arabia,2143,1636,1,2
########,6,Group Stage,Denmark,Tunisia,1971,1705,0,0
########,7,Group Stage,Mexico,Poland,1808,1813,0,0
########,8,Group Stage,France,Australia,2004,1720,4,1
########,9,Group Stage,Morocco,Croatia,1764,1926,0,0
########,10,Group Stage,Germany,Japan,1962,1788,1,2
########,11,Group Stage,Spain,Costa Rica,2049,1743,7,0
########,12,Group Stage,Belgium,Canada,2006,1775,1,0
########,13,Group Stage,Switzerland,Cameroon,1901,1607,1,0
########,14,Group Stage,Uruguay,South Korea,1935,1786,0,0
########,15,Group Stage,Portugal,Ghana,2005,1564,3,2
########,16,Group Stage,Brazil,Serbia,2169,1898,2,0
########,17,Group Stage,Wales,Iran,1789,1798,0,2
########,18,Group Stage,Qatar,Senegal,1680,1684,1,3
########,19,Group Stage,Netherlands,Ecuador,2040,1832,1,1
########,20,Group Stage,England,USA,1919,1796,0,0
########,21,Group Stage,Tunisia,Australia,1705,1720,0,1
########,22,Group Stage,Poland,Saudi Arabia,1813,1636,2,0
########,23,Group Stage,France,Denmark,2004,1971,2,1
########,24,Group Stage,Argentina,Mexico,2143,1808,2,0
########,25,Group Stage,Japan,Costa Rica,1788,1743,0,1
########,26,Group Stage,Belgium,Morocco,2006,1764,0,2
########,27,Group Stage,Croatia,Canada,1926,1775,4,1
########,28,Group Stage,Spain,Germany,2049,1962,1,1
########,29,Group Stage,Cameroon,Serbia,1607,1898,3,3
########,30,Group Stage,South Korea,Ghana,1786,1564,2,3
########,31,Group Stage,Brazil,Switzerland,2169,1901,1,0
########,32,Group Stage,Portugal,Uruguay,2005,1935,2,0
########,33,Group Stage,Ecuador,Senegal,1832,1684,1,2
########,34,Group Stage,Netherlands,Qatar,2040,1680,2,0
########,35,Group Stage,Iran,USA,1798,1796,0,1
########,36,Group Stage,Wales,England,1789,1919,0,3
########,37,Group Stage,Tunisia,France,1705,2004,1,0
########,38,Group Stage,Australia,Denmark,1720,1971,1,0
########,39,Group Stage,Poland,Argentina,1813,2143,0,2
########,40,Group Stage,Saudi Arabia,Mexico,1636,1808,1,2
12/1/2022,41,Group Stage,Croatia,Belgium,1926,2006,0,0
12/1/2022,42,Group Stage,Canada,Morocco,1775,1764,1,2
12/1/2022,43,Group Stage,Japan,Spain,1788,2049,2,1
12/1/2022,44,Group Stage,Costa Rica,Germany,1743,1962,2,4
12/2/2022,45,Group Stage,Ghana,Uruguay,1564,1935,0,2
12/2/2022,46,Group Stage,South Korea,Portugal,1786,2005,2,1
12/2/2022,47,Group Stage,Serbia,Switzerland,1898,1901,2,3
12/2/2022,48,Group Stage,Cameroon,Brazil,1607,2169,1,0
12/3/2022,49,Round of 16,Netherlands,USA,2040,1796,3,1
12/3/2022,50,Round of 16,Argentina,Australia,2143,1720,2,1
12/4/2022,51,Round of 16,France,Poland,2004,1813,3,1
12/4/2022,52,Round of 16,England,Senegal,1919,1684,3,0
12/5/2022,53,Round of 16,Japan,Croatia,1788,1926,1,1
12/5/2022,54,Round of 16,Brazil,South Korea,2169,1786,4,1
12/6/2022,55,Round of 16,Morocco,Spain,1764,2049,0,0
12/6/2022,56,Round of 16,Portugal,Switzerland,2005,1901,6,1
12/9/2022,57,Quarter-finals,Croatia,Brazil,1926,2169,1,1
12/9/2022,58,Quarter-finals,Netherlands,Argentina,2040,2143,2,2
########,59,Quarter-finals,Morocco,Portugal,1764,2005,1,0
########,60,Quarter-finals,England,France,1919,2004,1,2
########,61,Semi-finals,Argentina,Croatia,2143,1926,3,0
########,62,Semi-finals,France,Morocco,2004,1764,2,0
########,63,3rd Place Final,Croatia,Morocco,1926,1764,2,1
########,64,Final,Argentina,France,2143,2004,3,3
6/11/2026,1,Group A,Mexico,South Africa,1721.78,1418.21,2,0
6/11/2026,2,Group A,South Korea,Czechia,1591.75,1481.49,2,1
6/12/2026,3,Group B,Canada,Bosnia-Herzegovina,1572.13,1381.18,1,1
6/12/2026,4,Group D,USA,Paraguay,1709.59,1517.39,4,1
6/13/2026,5,Group B,Qatar,Switzerland,1438.82,1654.94,1,1
6/13/2026,6,Group C,Brazil,Morocco,1772.01,1769.98,1,1
6/13/2026,7,Group C,Haiti,Scotland,1271,1504.41,0,3
6/13/2026,8,Group D,Australia,Turkiye,1584.55,1550.13,2,0
6/14/2026,9,Group E,Germany,Curacao,1760.46,1299.41,7,1
6/14/2026,10,Group F,Netherlands,Japan,1764.4,1681.26,2,2
6/14/2026,11,Group E,Cote d'Ivoire,Ecuador,1551.71,1558.35,1,0
6/14/2026,12,Group F,Sweden,Tunisia,1517.99,1437.69,5,1
6/15/2026,13,Group H,Spain,Cabo Verde,1864.32,1401.77,0,0
6/15/2026,14,Group G,Belgium,Egypt,1727.88,1583.37,1,1
6/15/2026,15,Group H,Saudi Arabia,Uruguay,1426.71,1649.96,1,1
6/15/2026,16,Group G,IR Iran,New Zealand,1611.18,1277.34,2,2
6/16/2026,17,Group I,France,Senegal,1887.11,1667.66,3,1
6/16/2026,18,Group I,Iraq,Norway,1426.53,1577.18,1,4
6/16/2026,19,Group J,Argentina,Algeria,1889.06,1559.24,3,0
6/16/2026,20,Group J,Austria,Jordan,1612.86,1372.29,3,1
6/17/2026,21,Group K,Portugal,Congo DR,1755.09,1487.18,1,1
6/17/2026,22,Group L,England,Croatia,1847.68,1695.21,4,2
6/17/2026,23,Group L,Ghana,Panama,1380.71,1505.33,1,0
6/17/2026,24,Group K,Uzbekistan,Colombia,1444.48,1712.6,1,3
6/18/2026,25,Group A,Czechia,South Africa,1481.49,1418.21,1,1
